District,Crop,Year,Predicted_Production
Ahmadnagar,ribed guard,2025,239.21
Ahmadnagar,yam,2025,748.82
Ahmadnagar,jute & mesta,2025,533.86
Ahmadnagar,colocosia,2025,721.18
Ahmadnagar,tea,2025,591.8
Ahmadnagar,apple,2025,692.14
Ahmadnagar,peach,2025,300.87
Ahmadnagar,pear,2025,223.09
Ahmadnagar,plums,2025,4153.06
Ahmadnagar,turnip,2025,358.21
Ahmadnagar,coffee,2025,767.93
Ahmadnagar,bean,2025,876.34
Ahmadnagar,jobster,2025,2243.21
Ahmadnagar,perilla,2025,159.58
Ahmadnagar,rajmash kholar,2025,2375.56
Ahmadnagar,ricebean (nagadal),2025,586.28
Ahmadnagar,litchi,2025,509.41
Ahmadnagar,peas (vegetable),2025,160.33
Ahmadnagar,ber,2025,884.23
Ahmadnagar,other dry fruit,2025,597.34
Aizawl,bajra,2025,703.84
Aizawl,banana,2025,4865.85
Aizawl,beans & mutter(vegetable),2025,854.51
Aizawl,bhindi,2025,101.67
Aizawl,blackgram,2025,2944.83
Aizawl,bottle gourd,2025,2830.35
Aizawl,brinjal,2025,13518.78
Aizawl,cabbage,2025,616.79
Aizawl,cashewnut,2025,395.05
Aizawl,castor seed,2025,458.08
Aizawl,chickpea,2025,698.21
Aizawl,citrus fruit,2025,454.26
Aizawl,coriander,2025,99.9
Aizawl,cotton,2025,168.98
Aizawl,cowpea(lobia),2025,652.36
Aizawl,cucumber,2025,652.36
Aizawl,dry chillies,2025,353.99
Aizawl,garlic,2025,704.05
Aizawl,ginger,2025,4161.43
Aizawl,groundnut,2025,4374.11
Aizawl,horse-gram,2025,2152.71
Aizawl,jowar,2025,3313.24
Aizawl,lentil,2025,466.93
Aizawl,linseed,2025,509.41
Aizawl,maize,2025,2015.98
Aizawl,mango,2025,3147.62
Aizawl,mesta,2025,1073.58
Aizawl,mungbean,2025,2761.02
Aizawl,onion,2025,2405.48
Aizawl,orange,2025,2508.15
Aizawl,other fibres,2025,1091.34
Aizawl,other fresh fruits,2025,1158.21
Aizawl,other kharif pulses,2025,1306.13
Aizawl,other misc. pulses,2025,1306.13
Aizawl,other oilseeds,2025,1382.67
Aizawl,other rabi pulses,2025,1159.11
Aizawl,other vegetables,2025,1336.07
Aizawl,pigeonpeas,2025,722.38
Aizawl,pomegranate,2025,2453.86
Aizawl,potato,2025,633.24
Aizawl,ragi,2025,2757.92
Aizawl,rapeseed &mustard,2025,316.04
Aizawl,rice,2025,2634.84
Aizawl,safflower,2025,586.28
Aizawl,samai,2025,97.34
Aizawl,sesamum,2025,247.22
Aizawl,small millets,2025,3027.99
Aizawl,soyabean,2025,714.52
Aizawl,sugarcane,2025,998.8
Aizawl,sunflower,2025,1230.61
Aizawl,sweet potato,2025,1038.53
Aizawl,tobacco,2025,262.02
Aizawl,tomato,2025,2046.24
Aizawl,turmeric,2025,83.92
Aizawl,varagu,2025,75.87
Aizawl,wheat,2025,707.36
Aizawl,barley,2025,4859.25
Aizawl,dry ginger,2025,215.08
Aizawl,other  rabi pulses,2025,428.15
Aizawl,peas & beans (pulses),2025,160.33
Aizawl,sannhamp,2025,7.76
Aizawl,guar seed,2025,3395.92
Aizawl,jute,2025,513.72
Aizawl,moth,2025,1167.59
Aizawl,oilseeds total,2025,1378.53
Aizawl,total foodgrain,2025,5429.31
Aizawl,other cereals & millets,2025,617.54
Aizawl,pulses total,2025,6676.76
Aizawl,grapes,2025,4603.95
Aizawl,niger seed,2025,577.43
Aizawl,coconut,2025,452.9
Aizawl,kapas,2025,513.72
Aizawl,tapioca,2025,1033.46
Aizawl,arecanut,2025,692.14
Aizawl,bitter gourd,2025,6.32
Aizawl,black pepper,2025,148.02
Aizawl,cashewnut raw,2025,460.5
Aizawl,drum stick,2025,353.45
Aizawl,jack fruit,2025,2245.17
Aizawl,papaya,2025,6314.64
Aizawl,pineapple,2025,644.04
Aizawl,pump kin,2025,2836.06
Aizawl,rubber,2025,586.28
Aizawl,snak guard,2025,2484.85
Aizawl,watermelon,2025,75.07
Aizawl,korra,2025,525.06
Aizawl,lemon,2025,497.95
Aizawl,sapota,2025,844.72
Aizawl,cond-spcs other,2025,99.9
Aizawl,paddy,2025,11039.34
Aizawl,cauliflower,2025,458.08
Aizawl,khesari,2025,513.72
Aizawl,other citrus fruit,2025,554.38
Aizawl,arcanut (processed),2025,692.14
Aizawl,atcanut (raw),2025,695.93
Aizawl,cardamom,2025,366.78
Aizawl,cashewnut processed,2025,433.05
Aizawl,carrot,2025,366.78
